TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,TaskboardPosition.x,TaskboardPosition.y,TaskboardPosition.z,TaskboardRotation.x,TaskboardRotation.y,TaskboardRotation.z,Landmark1Name,Landmark2Name,Landmark3Name,Landmark4Name,Landmark5Name,Landmark6Name,Landmark1Position.x,Landmark1Position.y,Landmark1Position.z,Landmark2Position.x,Landmark2Position.y,Landmark2Position.z,Landmark3Position.x,Landmark3Position.y,Landmark3Position.z,Landmark4Position.x,Landmark4Position.y,Landmark4Position.z,Landmark5Position.x,Landmark5Position.y,Landmark5Position.z,Landmark6Position.x,Landmark6Position.y,Landmark6Position.z,Landmark1Rotation.x,Landmark1Rotation.y,Landmark1Rotation.z,Landmark2Rotation.x,Landmark2Rotation.y,Landmark2Rotation.z,Landmark3Rotation.x,Landmark3Rotation.y,Landmark3Rotation.z,Landmark4Rotation.x,Landmark4Rotation.y,Landmark4Rotation.z,Landmark5Rotation.x,Landmark5Rotation.y,Landmark5Rotation.z,Landmark6Rotation.x,Landmark6Rotation.y,Landmark6Rotation.z,Landmark1State,Landmark2State,Landmark3State,Landmark4State,Landmark5State,Landmark6State
1.08,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841453,0.6901476,0.2835021,0.8841453,0.6901476,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99999,1.920578E-08,0.0119545,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.00048807,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.1,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841404,0.69012,0.2835021,0.8841404,0.69012,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,7.202178E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.14,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841366,0.6900982,0.2835021,0.8841366,0.6900982,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.16,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841335,0.6900806,0.2835021,0.8841335,0.6900806,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.18,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.884131,0.6900668,0.2835021,0.884131,0.6900668,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.2,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.884129,0.6900554,0.2835021,0.884129,0.6900554,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.22,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841275,0.6900469,0.2835021,0.8841275,0.6900469,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.22,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841265,0.6900417,0.2835021,0.8841265,0.6900417,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.24,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841258,0.6900373,0.2835021,0.8841258,0.6900373,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
1.26,1,Training,1,Shelves,Shelves,0,0.03,0,0,0,0,MIN1,MAX1,MAX3,MIN3,MAX2,MIN2,0.4166751,0.8249703,0.3545499,0.06476279,0.8388434,0.4332284,-0.1412784,0.8841251,0.6900337,0.2835021,0.8841251,0.6900337,-0.5025241,0.8302345,0.3844049,0.6714222,0.8602992,0.5549101,79.99997,2.400726E-09,0.01195648,79.99997,0,-1.52831E-06,79.99997,0,0,79.99997,0,0,79.99997,-1.500454E-10,0.0004880702,79.99997,0,0,highlighted,highlighted,,,highlighted,
